nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:002, iter:00312] Loss: 1.305 | Acc: 53.186% | time: 16.89s 
[epoch:002, iter:00313] Loss: 1.302 | Acc: 53.255% | time: 17.21s 
[epoch:002, iter:00314] Loss: 1.303 | Acc: 53.243% | time: 17.53s 
[epoch:002, iter:00315] Loss: 1.302 | Acc: 53.299% | time: 17.85s 
[epoch:002, iter:00316] Loss: 1.300 | Acc: 53.286% | time: 18.16s 
[epoch:002, iter:00317] Loss: 1.300 | Acc: 53.283% | time: 18.48s 
[epoch:002, iter:00318] Loss: 1.299 | Acc: 53.308% | time: 18.80s 
[epoch:002, iter:00319] Loss: 1.299 | Acc: 53.305% | time: 19.12s 
[epoch:002, iter:00320] Loss: 1.299 | Acc: 53.302% | time: 19.44s 
[epoch:002, iter:00321] Loss: 1.298 | Acc: 53.273% | time: 19.76s 
[epoch:002, iter:00322] Loss: 1.301 | Acc: 53.176% | time: 20.08s 
[epoch:002, iter:00323] Loss: 1.299 | Acc: 53.184% | time: 20.41s 
[epoch:002, iter:00324] Loss: 1.299 | Acc: 53.191% | time: 20.73s 
[epoch:002, iter:00325] Loss: 1.297 | Acc: 53.288% | time: 21.05s 
[epoch:002, iter:00326] Loss: 1.298 | Acc: 53.149% | time: 21.37s 
[epoch:002, iter:00327] Loss: 1.299 | Acc: 53.164% | time: 21.69s 
[epoch:002, iter:00328] Loss: 1.299 | Acc: 53.179% | time: 22.01s 
